#,JSON Location,,,XL Location,,,GUID,XL Multi,JSON Multi,MULTI MATCH,Magic Point,JSON Reductive,XL Reductive,REDUC MATCH,x_mp,y_mp,z_mp,,REDUC MATCH
,x,y,z,x,y,z,,,,,,,,,,y_mp,y_mp,,
37,25.988,46.993,35.152,25.95491503,47.06107374,35,d390a4b9-d132-4680-88f7-3cb96268dfbb,6.300546027,6.3709168975075094,True,94,1.0070517258696077,1.00512375,True,26.932,39.483,40.152
38,28.453,45.194,35.152,28.45491503,45.24471742,35,360f66a2-6a18-4d63-9630-b6c704443a4f,6.300546027,6.3709168975075094,True,94,1.0981450738086895,1.09629143,True,26.932,39.483,40.152
39,31.578,45.177,35.152,31.54508497,45.24471742,35,8db23287-6de0-4ef9-b0e7-bb86bb25fa42,6.300546027,6.3709168975075094,True,93,1.0983394555826316,1.09629143,True,33.121,39.475,40.152
39,31.665,47.539,35.152,31.54508497,45.24471742,35,f5065a9c-1e3b-4e85-93bd-6a2becd653cc,6.300546027,0.0,False,93,0.0,1.09629143,False
40,34.043,47.011,35.152,34.04508497,47.06107374,35,f1f620e2-c8c5-48ab-a5ff-08c14e7d75f6,6.300546027,6.3709168975075094,True,93,1.0059784952791473,1.00512375,True,33.121,39.475,40.152
41,54.998,39.967,35.152,55,40,35,a2507c09-ff2a-44a7-bbd3-435da12a9d6f,6.300546027,6.595892013549585,False,92,1.0,1,True,38.121,35.834,40.152
42,54.061,42.889,35.152,54.04508497,42.93892626,35,d7da79fc-4e63-4489-b797-78c843c46b0c,6.300546027,6.595892013549585,False,92,1.0,1,True,38.121,35.834,40.152
42,52.311,41.508,35.152,54.04508497,42.93892626,35,e9ceeb89-50a0-4dff-bdd4-3335313a5a30,6.300546027,0.0,False,92,0.0,1,False
43,54.061,42.889,35.152,51.54508497,44.75528258,35,d7da79fc-4e63-4489-b797-78c843c46b0c,6.300546027,6.595892013549585,False,92,1.0,1,True,38.121,35.834,40.152
45,45.97,42.906,35.152,45.95491503,42.93892626,35,8bf64e93-e47b-4660-83d6-88b2625da1a0,6.300546027,6.595892013549585,False,92,1.0,1,True,38.121,35.834,40.152
46,44.998,39.932,35.152,45,40,35,d92b7a5c-6950-4c85-a0d7-4d5ef26ed7ff,6.300546027,6.595892013549585,False,92,1.0,1,True,38.121,35.834,40.152
47,45.988,36.993,35.152,45.95491503,37.06107374,35,5e7f1ba1-134d-42d6-9e58-38be82b5fe52,6.300546027,6.595892013549585,False,92,1.0,1,True,38.121,35.834,40.152
48,48.488,35.194,35.152,48.45491503,35.24471742,35,9ed58352-ca8b-4c19-b14e-c112a9e51fc5,6.300546027,6.595892013549585,False,91,1.0,1,True,40.023,29.957,40.152
49,51.543,35.194,35.152,51.54508497,35.24471742,35,68f3a1bb-f31e-43af-af44-185d7e2ff8ae,6.300546027,6.595892013549585,False,91,1.0,1,True,40.023,29.957,40.152
49,54.043,37.028,35.152,51.54508497,35.24471742,35,e9823358-b978-4a03-9321-f527647a0467,6.300546027,6.595892013549585,False,91,1.0,1,True,40.023,29.957,40.152
50,54.043,37.028,35.152,54.04508497,37.06107374,35,e9823358-b978-4a03-9321-f527647a0467,6.300546027,6.595892013549585,False,91,1.0,1,True,40.023,29.957,40.152
51,55.033,19.95,35.152,55,20,35,ea30b287-e269-442c-b494-805b05e5de08,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
52,54.044,22.904,35.152,54.04508497,22.93892626,35,85fede16-cabe-4f13-9bd4-6ddccfb6c3f0,6.300546027,6.373221626240901,True,91,1.0,1,True,40.023,29.957,40.152
53,51.577,24.688,35.152,51.54508497,24.75528258,35,4e025ce8-bd0b-41ee-b58b-9610453f876e,6.300546027,0.0,False,91,0.0,1,False
54,48.487,24.704,35.152,48.45491503,24.75528258,35,0621f237-0ab5-4ed4-b2cb-5eaed3002050,6.300546027,6.373221626240901,True,91,1.0,1,True,40.023,29.957,40.152
55,45.954,22.904,35.152,45.95491503,22.93892626,35,679bcd1c-d4ec-4237-ba2c-70fe3e50033b,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
56,45.015,19.982,35.152,45,20,35,0d9d9d34-a351-4df8-81db-b8b29a9d02c2,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
57,46.003,17.01,35.152,45.95491503,17.06107374,35,942f3988-cb10-4fbf-a006-51c688ae485f,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
58,48.47,15.194,35.152,48.45491503,15.24471742,35,111bc476-7df6-4c70-8ceb-b04ba7bd3d6e,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
59,51.56,15.21,35.152,51.54508497,15.24471742,35,f658df2e-b742-454c-a29c-78a0d5e72fba,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
60,54.044,17.044,35.152,54.04508497,17.06107374,35,17864136-01f8-455f-af3d-6791674ff2d2,6.300546027,6.373221626240901,True,100,1.0,1,True,38.121,24.071,40.152
61,35.015,10.015,35.152,35,10,35,68fefc5f-4f94-418e-bb99-091cc0da0b4b,6.300546027,6.3688731277536785,True,99,1.0,1,True,33.121,20.43,40.152
62,34.06,12.888,35.152,34.04508497,12.93892626,35,c756ce67-3187-4693-aaa6-0bd8f343ef4c,6.300546027,6.3688731277536785,True,99,1.0056060299759841,1.00512375,True,33.121,20.43,40.152
63,31.544,14.721,35.152,31.54508497,14.75528258,35,56ea0b0e-0ce2-4199-820e-ed8adb28a5b3,6.300546027,6.3688731277536785,True,99,1.0973183183908666,1.09629143,True,33.121,20.43,40.152
64,28.47,14.738,35.152,28.45491503,14.75528258,35,d607d71f-c099-40c6-8ab6-98734fa288ac,6.300546027,6.3688731277536785,True,98,1.0985500628677158,1.09629143,True,26.932,20.438,40.152
65,25.97,12.904,35.152,25.95491503,12.93892626,35,744e80b0-a457-4a7f-a976-bce916739c7c,6.300546027,6.3688731277536785,True,98,1.00584044959404,1.00512375,True,26.932,20.438,40.152
66,24.999,9.949,35.152,25,10,35,0f758023-a913-47b3-934c-b5b21d1266a4,6.300546027,6.3688731277536785,True,98,1.0,1,True,26.932,20.438,40.152
67,25.97,7.026,35.152,25.95491503,7.061073739,35,272cfdfe-48b7-4742-bf67-ef32e12240bf,6.300546027,6.3688731277536785,True,98,1.0,1,True,26.932,20.438,40.152
68,28.47,5.194,35.152,28.45491503,5.244717419,35,7b07cfd9-e78e-48b6-b8bb-203add9f4ab7,6.300546027,6.3688731277536785,True,98,1.0,1,True,26.932,20.438,40.152
69,31.56,5.194,35.152,31.54508497,5.244717419,35,79c531c0-cf53-4124-8d49-87190cc66588,6.300546027,6.3688731277536785,True,99,1.0,1,True,33.121,20.43,40.152
70,34.044,7.026,35.152,34.04508497,7.061073739,35,6f856b2e-6fed-4d2d-a296-d3ae1f7c5f06,6.300546027,6.3688731277536785,True,99,1.0,1,True,33.121,20.43,40.152
71,15.015,19.949,35.152,15,20,35,d325ec16-4072-48fa-80d8-a4cd26c3c332,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
72,14.06,22.921,35.152,14.04508497,22.93892626,35,67d7d466-4d6d-4f44-8edc-f81d79401885,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
73,11.56,24.721,35.152,11.54508497,24.75528258,35,80ef8305-281a-4bbd-8f4b-b19ba3c567ab,6.300546027,6.369766731936874,True,96,1.0,1,True,20.015,29.964,40.152
74,8.487,24.721,35.152,8.454915028,24.75528258,35,abc53939-54ff-4515-9cda-acc9583bfe6a,6.300546027,6.369766731936874,True,96,1.0,1,True,20.015,29.964,40.152
75,5.954,22.872,35.152,5.954915028,22.93892626,35,5d20598b-d991-410e-8ebe-5499d6744085,6.300546027,6.369766731936874,True,96,1.0,1,True,20.015,29.964,40.152
76,5.015,19.933,35.152,5,20,35,f4e4a731-e76b-400a-a900-e5dbaf6aec3e,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
77,5.988,16.993,35.152,5.954915028,17.06107374,35,418ec3e1-8d34-4d14-9afd-a4151ed554fc,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
78,8.48,15.184,35.152,8.454915028,15.24471742,35,269662cf-b16a-4954-a64b-dd66a0739721,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
79,11.571,15.201,35.152,11.54508497,15.24471742,35,93d5aeb8-dc71-4a09-9fa4-fadfeb232c61,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
80,14.062,17.026,35.152,14.04508497,17.06107374,35,6a7ff1ec-347c-4631-9970-78be66188a24,6.300546027,6.369766731936874,True,97,1.0,1,True,21.925,24.087,40.152
81,15.033,39.947,35.152,15,40,35,ed0c10aa-f461-464c-9dab-01a5ca2598f1,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
82,14.07,42.903,35.152,14.04508497,42.93892626,35,8cfc139a-15be-4885-a9fc-f0c771c8fba4,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
83,11.569,44.712,35.152,11.54508497,44.75528258,35,37f1c966-b7c4-421c-92ac-ae10f294bb87,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
84,8.478,44.704,35.152,8.454915028,44.75528258,35,ea7c49b8-d972-4ee6-997b-ea59e56768b1,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
85,5.978,42.887,35.152,5.954915028,42.93892626,35,944a72bc-bb1d-4956-a4cc-926820d097d0,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
86,5.031,39.957,35.152,5,40,35,50eab8fd-8876-4595-a073-5e36e95ae3e9,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
87,5.986,37.018,35.152,5.954915028,37.06107374,35,27f33265-1066-407f-b8ec-e517ac6e1646,6.300546027,6.372068487152752,True,96,1.0,1,True,20.015,29.964,40.152
88,8.478,35.201,35.152,8.454915028,35.24471742,35,7efa04b5-f585-4231-9c8c-415f99cde480,6.300546027,6.372068487152752,True,96,1.0,1,True,20.015,29.964,40.152
89,11.569,35.193,35.152,11.54508497,35.24471742,35,ec45bf46-d7a6-49a2-8054-fb4fef282fc4,6.300546027,6.372068487152752,True,96,1.0,1,True,20.015,29.964,40.152
90,14.068,37.018,35.152,14.04508497,37.06107374,35,93ab1add-0864-4b91-aa79-fd5b654a36d4,6.300546027,6.372068487152752,True,95,1.0,1,True,21.941,35.834,40.152
91,40.023,29.957,40.152,40,30,40,3f147374-3c9e-4ee3-a61e-2ef5b3526900,7.728389678,7.7363827760229835,True,,1.0,1,True
92,38.121,35.834,40.152,38.09016994,35.87785252,40,93a407c3-f640-4599-9a3d-735fe275c870,7.728389678,7.7363827760229835,True,,1.0,1,True
93,33.121,39.475,40.152,33.09016994,39.51056516,40,f441f04b-0297-41bc-852b-f04588c7ba6f,7.728389678,7.7363827760229835,True,,1.0,1,True
94,26.932,39.483,40.152,26.90983006,39.51056516,40,7b0f3809-a37d-405f-892a-ad413c566f65,7.728389678,7.7363827760229835,True,,1.0,1,True
95,21.941,35.834,40.152,21.90983006,35.87785252,40,70c0010b-b70a-4860-bd9b-f2be07472c27,7.728389678,7.7363827760229835,True,,1.0,1,True
96,20.015,29.964,40.152,20,30,40,8c28870a-55e3-44c2-b6e2-17a74115be96,7.728389678,7.7363827760229835,True,,1.0,1,True
97,21.925,24.087,40.152,21.90983006,24.12214748,40,113c08cd-efd5-4abc-99cb-66618b188764,7.728389678,7.7363827760229835,True,,1.0,1,True
98,26.932,20.438,40.152,26.90983006,20.48943484,40,4a18e4c9-daea-43e4-930b-7b6db910f761,7.728389678,7.7363827760229835,True,,1.0,1,True
99,33.121,20.43,40.152,33.09016994,20.48943484,40,86e1c076-d468-4497-a8ef-a2185a710b9f,7.728389678,7.7363827760229835,True,,1.0,1,True
100,38.121,24.071,40.152,38.09016994,24.12214748,40,baefbaa5-ca42-41ac-b29f-7daeee36a579,7.728389678,7.7363827760229835,True,,1.0,1,True
